SEKOLAH,JUMLAH SEKOLAH,JUMLAH GURU,JUMLAH MURID
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,TETAP,TETAP
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,TETAP,TETAP
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,TETAP,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,TETAP,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,NAIK,BERTAMBAH,BERTAMBAH
SWASTA,TETAP,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERTAMBAH
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,TETAP,BERKURANG
SWASTA,TETAP,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,TETAP,BERKURANG
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,TETAP,TETAP
NEGERI,TETAP,BERTAMBAH,BERTAMBAH
SWASTA,TETAP,TETAP,TETAP
NEGERI,TETAP,BERTAMBAH,BERTAMBAH
SWASTA,TETAP,BERKURANG,BERKURANG
NEGERI,TETAP,TETAP,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERTAMBAH
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERTAMBAH
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERKURANG,BERTAMBAH
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERKURANG
NEGERI,TETAP,BERKURANG,BERTAMBAH
SWASTA,TETAP,BERKURANG,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,TETAP,TETAP,TETAP
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,TETAP,TETAP,TETAP
NEGERI,TETAP,BERTAMBAH,BERTAMBAH
SWASTA,TETAP,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERKURANG,BERTAMBAH
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERTAMBAH
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERTAMBAH
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERTAMBAH
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERTAMBAH
SWASTA,TETAP,BERKURANG,BERTAMBAH
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,TETAP,TETAP
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,TETAP,TETAP
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,TETAP,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,TETAP,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERTAMBAH
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,TETAP,BERTAMBAH
SWASTA,TETAP,BERTAMBAH,BERKURANG
NEGERI,TETAP,BERTAMBAH,BERTAMBAH
SWASTA,TETAP,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERTAMBAH,BERTAMBAH
SWASTA,TETAP,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,BERKURANG,BERKURANG
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERTAMBAH
NEGERI,TETAP,TETAP,BERKURANG
SWASTA,NAIK,BERTAMBAH,BERKURANG
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,TETAP,TETAP,TETAP
NEGERI,TETAP,BERTAMBAH,BERKURANG
SWASTA,TETAP,TETAP,TETAP
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,BERKURANG,BERKURANG
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,BERKURANG,BERTAMBAH
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,NAIK,BERKURANG,BERTAMBAH
NEGERI,TETAP,BERKURANG,BERTAMBAH
SWASTA,TETAP,BERKURANG,BERKURANG
NEGERI,TETAP,BERKURANG,BERTAMBAH
SWASTA,NAIK,BERKURANG,BERKURANG
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,BERKURANG,BERKURANG
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,BERKURANG,BERKURANG
NEGERI,TETAP,BERKURANG,BERTAMBAH
SWASTA,TETAP,BERKURANG,BERKURANG
NEGERI,TETAP,BERKURANG,BERTAMBAH
SWASTA,TETAP,BERKURANG,BERKURANG
NEGERI,TETAP,BERKURANG,BERKURANG
SWASTA,TETAP,BERKURANG,BERKURANG
